ISBN,copyNum,condition
9781932234961,1,unset
9780316259460,1,unset
9780316340021,1,unset
9780316340045,1,unset
9780316340052,1,unset
9781632360564,1,unset
9781632360571,1,unset
9781632360588,1,unset
9781632360595,1,unset
9781632360601,1,unset
9781632360618,1,unset
9781632362223,1,unset
9781646513741,1,unset
9781646513758,1,unset
9781947194977,1,unset
9781949980028,1,unset
9781949980165,1,unset
9781949980400,1,unset
9781506711980,1,unset
9781975378004,1,unset
9781974738663,1,unset
9781974709939,1,unset
9781974709946,1,unset
9781974709953,1,unset
9781974717279,1,unset
9781974719228,1,unset
9781974720712,1,unset
9781974720965,1,unset
9781974722785,1,unset
9781974724048,1,unset
9781974725359,1,unset
9781974727117,1,unset
9781974740581,1,unset
9781974741021,1,unset
9781616559281,1,unset
9781616559632,1,unset
9781506700304,1,unset
9781506701363,1,unset
9781506713625,1,unset
9781506713632,1,unset
9781506713649,1,unset
9781506713595,1,unset
9781506713601,1,unset
9781506713618,1,unset
9781506707334,1,unset
9781506707341,1,unset
9781506707358,1,unset
9781421539645,1,unset
9780316383127,1,unset
9780316385015,1,unset
9780316385022,1,unset
9781947194861,1,unset
9781949980097,1,unset
9781949980103,1,unset
9781949980486,1,unset
9781949980851,1,unset
9781949980981,1,unset
9781974702619,1,unset
9781974702626,1,unset
9781974702633,1,unset
9781421586205,1,unset
9781616554125,1,unset
9781626925557,1,unset
9781646090167,1,unset
9781646090174,1,unset
9781646090181,1,unset
9781642750324,1,unset
9781975361747,1,unset
9781974700301,1,unset
9781974700318,1,unset
9781974700325,1,unset
9781974700493,1,unset
9781974700509,1,unset
9780316562898,1,unset
9780316562980,1,unset
9780316412803,1,unset
9781975303723,1,unset
9781646511143,1,unset
9781646512614,1,unset
9780759529441,1,unset
9781642750348,1,unset
9781646090327,1,unset
9781646090334,1,unset
9781646090341,1,unset
9781646090518,1,unset
9781932234961,1,unset
9781642731446,1,unset
9780316259460,1,unset
9780316340021,1,unset
9780316340045,1,unset
9780316340052,1,unset
9781632360564,1,unset
9781632360571,1,unset
9781632360588,1,unset
9781632360595,1,unset
9781632360601,1,unset
9781632360618,1,unset
9781632362223,1,unset
9781646513741,1,unset
9781646513758,1,unset
9781947194977,1,unset
9781949980028,1,unset
9781949980165,1,unset
9781949980400,1,unset
9781632367020,1,unset
9781506711980,1,unset
9781975378004,1,unset
9781975313029,1,unset
9781975321277,1,unset
9781975338725,1,unset
9781974738663,1,unset
9781974709939,1,unset
9781974709946,1,unset
9781974709953,1,unset
9781974717279,1,unset
9781974719228,1,unset
9781974720712,1,unset
9781974720965,1,unset
9781974722785,1,unset
9781974724048,1,unset
9781974725359,1,unset
9781974727117,1,unset
9784088832715,1,unset
9781974740581,1,unset
9781974741021,1,unset
9781616559281,1,unset
9781616559632,1,unset
9781506700304,1,unset
9781506701363,1,unset
9781506713625,1,unset
9781506713632,1,unset
9781506713649,1,unset
9781506713595,1,unset
9781506713601,1,unset
9781506713618,1,unset
9781506707334,1,unset
9781506707341,1,unset
9781506707358,1,unset
9781421539645,1,unset
9780316383127,1,unset
9780316385015,1,unset
9780316385022,1,unset
9781947194861,1,unset
9781949980097,1,unset
9781949980103,1,unset
9781949980486,1,unset
9781949980851,1,unset
9781949980981,1,unset
9781974702619,1,unset
9781974702626,1,unset
9781974702633,1,unset
9781421586205,1,unset
9781616554125,1,unset
9781626925557,1,unset
9781646090167,1,unset
9781646090174,1,unset
9781646090181,1,unset
9781642750324,1,unset
9781975361747,1,unset
9781974700301,1,unset
9784088904320,1,unset
9781974700318,1,unset
9781974700325,1,unset
9781974700493,1,unset
9781974700509,1,unset
9780316562898,1,unset
9780316562980,1,unset
9780316412803,1,unset
9781975303723,1,unset
9781974707126,1,unset
9781974707133,1,unset
9781974707140,1,unset
9781646511143,1,unset
9781646512614,1,unset
9780759529441,1,unset
9781642750348,1,unset
9781646090327,1,unset
9781646090334,1,unset
9781646090341,1,unset
9781646090518,1,unset